Customer_ID,Customer_Name,Region,Total_Spend,Purchase_Frequency,Marketing_Spend,Seasonality_Index,Churned
101,John Doe,North,5000,12,2000,1.2,No
102,Jane Smith,South,3000,8,1500,1.0,Yes
103,Sam Brown,East,4500,10,1800,1.1,No
104,Linda Johnson,West,2500,5,1000,0.9,Yes
105,Michael Lee,North,7000,15,2500,1.3,No
106,Emily Davis,South,3200,7,1400,1.0,Yes
107,David Wilson,East,5300,14,2300,1.2,No
108,Susan White,West,2900,6,1100,0.8,Yes
109,Chris Martin,North,6000,13,2200,1.2,No
110,Anna Taylor,South,3100,8,1350,0.9,Yes
111,James Anderson,East,4700,11,1900,1.1,No
112,Patricia Thomas,West,2600,5,1050,0.8,Yes
113,Robert Jackson,North,5500,12,2100,1.2,No
114,Mary Harris,South,3300,9,1450,1.0,Yes
115,Daniel Clark,East,4900,11,2000,1.1,No
116,Barbara Lewis,West,2700,6,1150,0.9,Yes
